question,label
금요일 오전 아홉 시 에 깨워줘,alarm_set
지금부터 두시 간 동안 알람 설정해,alarm_set
올리 조용히 해,system_volume_set
그만,system_volume_set
올리 십초 동안 멈춰줘,system_volume_set
십초 간 일시정지 해,system_volume_set
여기 조명 조금 더 따뜻하게 해 줘,light_dim
독서하기에 알맞게 조명 설정해,light_dim
잘 시간이야,light_off
잘 시간이야,light_off
화장실 불 꺼 줘,light_off
현관 불 어둡게 해줘,light_dim
안방 불 꺼 줘,light_off
조명 이십 퍼센트로 설정해줘,light_dim
올리 조명 이십 퍼센트로 설정해,light_dim
주방 조명 어둡게,light_dim
주방 불 어둡게 해줘,light_dim
모스크바 몇 시인지 알려줘,time_query
오전 일곱 시 알람 중지,alarm_set
활성화된 알람 나열해주시겠어요,alarm_query
오늘 축구 소식 있어,news_play
불 더 밝게 만들어 줘,light_brighten
조명 최대로 올려주세요,light_brighten
열두 시 알람 설정,alarm_set
지금부터 사십 분 후 알람 맞춰줘,alarm_set
모든 평일 여덟 시 로 알람 설정해줘,alarm_set
비가 오나,weather_info
비가 올까,weather_info
지금 밖에 눈이 오나,weather_info
이번 주의 날씨는 어때,weather_info
k. b. s. 뉴스 말해줘,news_play
k. b. s. 뉴스에 어떤 뉴스 나와,news_play
어떤 게 k. b. s. 의 최신 뉴스야,news_play
볼륨 바꿔,system_volume_set
밝기 오십으로 설정,light_dim
밝기 줄여,light_dim
밝기 줄여줘,light_dim
밝기 줄여줘,light_dim
조명 어둡게 해,light_dim
조명 어둡게 해,light_dim
오전 열시 알람 맞춰,alarm_set
최신 테크놀로지 소식 전해줘,news_play
최신 기술 관련 뉴스를 알려줘,news_play
날씨 알려줘,weather_info
지금 날씨 어때,weather_info
지금 비 와,weather_info
볼륨 크게 해,system_volume_set
몇 시야,time_query
시간 말해줘,time_query
알람 지워줘,alarm_set
내가 설정한 알람들 보여줘,alarm_query
나 알람 있어,alarm_query
알람들 보여줘,alarm_query
서울 날씨 어때,weather_info
서울 날씨 알려줘,weather_info
조명 책 읽기 좋게 만들어 줘,light_dim
보기 좋게 조명 조정해줘,light_dim
방 더 밝게 만들어 줘,light_brighten
그리고 조명 켜,light_on
오늘 며칠이야,time_query
오늘 무슨 요일이야,time_query
날짜 말해줘,time_query
올리야 밖에 비 오니,weather_info
등 초록색 으로 바꿔줘,light_dim
불 꺼 줘,light_off
불 꺼 줘,light_off
오후 네 시 알람 설정,alarm_set
올리 오후 세 시 콘서트 가라고 알려줘,alarm_set
오후 세시에 콘서트에 가기 알람 켜줘,alarm_set
나 아침 비행기 를 위해 설정한 알람 있나,alarm_query
알람 있어,alarm_query
부산 에 비가 오나,weather_info
오늘 비가 올까,weather_info
바깥은 어때,weather_info
세계에 무슨 일이 일어나고 있어,news_play
인천에 무슨 일이야,news_play
s. b. s. 뉴스 좀 보여 줘,news_play
올리야 k. b. s.에서 뉴스 보여줘,news_play
m. b. s. 뉴스 읽어줘,news_play
올리 한국경제,news_play
너 너무 시끄러,system_volume_set
올리야 난 네가 거의 안들려,system_volume_set
파란색 조명 으로 바꿔줘,light_dim
불 하늘색 으로 만들어줘,light_dim
수면 등 꺼줘,light_off
여기 엄청 어둡다,light_on
불 더 밝게 해 줘,light_brighten
너무 어두워서 아무것도 안보여,light_on
지금 몇 시야,time_query
서울 날씨는 어때,weather_info
진주 날씨는 어때,weather_info
최근 브렉시트 협상 상황 어때,news_play
다음 한국 선거 누가 이길까,news_play
일요일에 해가 비칠까,weather_info
저녁 에는 비가 올까,weather_info
내일 바람이 불까,weather_info
소파 옆 스탠드 밝혀줘,light_brighten
조명 켜 줘,light_brighten
지금 서울 은 몇 시야,time_query
세계에 무슨 일 있을까,news_play
뉴스 알려줘,news_play
오늘 예보 알려줘,weather_info
날씨 어때,weather_info
올해 며칠 남았어,time_query
밝기 이십 퍼센트 높여줘,light_brighten
불 제일 밝게 설정,light_brighten
무음,system_volume_set
내일 우산 챙겨야 하나,weather_info
카카오에서 기술 관련 뉴스 알려줘,news_play
행복해,weather_info
저녁,weather_info
일요일,weather_info
더 조용히,system_volume_set
조용하게,system_volume_set
부산 날씨 를 알고싶어,weather_info
경기도 에 눈이 오나,weather_info
내일 날씨는 어떨 것 같아,weather_info
내일의 기상 예보 알려줘,weather_info
내일 눈 내릴까,weather_info
삼월 이십구일 무슨 요일이야,time_query
다음 알람 뭐야,alarm_query
내 알람에 대해 알려줘,alarm_query
오늘 울리는 내 알람 시간 언제야,alarm_query
시간 좀 알려줄래,time_query
현재 날짜 뭐야,time_query
무슨 뉴스 잇어,news_play
조명 끄고 싶은데 그렇게 해줄 수 있어,light_off
다음 날씨 정보가 맞는지 알려줘,weather_info
날씨 앱 확인해봐,weather_info
차고 조명 꺼,light_off
조선일보 속보 확인해,news_play
국민일보 사망 소식,news_play
내일 따뜻할까,weather_info
집 조명 색 바꿔줘,light_dim
집 조명 색 계속 바꿔줄래,light_dim
집 조명 색 어둡게 바꿔줘,light_dim
내가 어떤 알람들 설정했지,alarm_query
내 알람 전체 다 읽어줘,alarm_query
알람 몇 시로 설정되어 있어,alarm_query
내 방 조명들 파랗게 바꿔,light_dim
내 방 조명 분위기 있는 색 으로 바꿔줘,light_dim
오전 여덟 시 알람 설정해줘,alarm_set
오후 네 시 알람 만들어줘,alarm_set
오전 여덟 시 사십오 분 에 기상 알람 맞춰줘,alarm_set
최신 뉴스 뭐야,news_play
극한직업 뉴스 뭐 있어,news_play
화장실 불 꺼 줘,light_off
지금 바깥 날씨 어때,weather_info
현재 바깥 날씨 얼마나 따뜻해,weather_info
다음 화요일 은 며칠이야,time_query
오늘 비가 올까,weather_info
새 헤드라인 읽어줘,news_play
지방 선거에서 누가 앞서고 있어,news_play
오늘 며칠이야,time_query
주방 불 파란색 으로 바꿔줘,light_dim
거실 불 빨간색 으로 바꿔줘,light_dim
조금 더 크게 말할 수 있니,system_volume_set
안 들려 조금 크게 말해줄래,system_volume_set
크게 말해주세요,system_volume_set
무슨 요일이지,time_query
날짜랑 시간 알려줘,time_query
siri 며칠이야,time_query
내 방 불 밝게 해줘,light_brighten
조명 꺼,light_off
전등 꺼 줘,light_off
조명 꺼,light_on
북한 미사일 소식 찾아줘,news_play
s. k. 에너지 관련 뉴스 열어줘,news_play
