question,label
집 전체 상태 알려줘,home_status_query
집안 상태,home_status_query
지금 뭐 돌아가고 있어,home_status_query
집 뭐 켜져있어?,home_status_query
집안 어때,home_status_query
집 전체 확인해줘,home_status_query
우리집 어때,home_status_query
지금 집 어때?,home_status_query
지금 집 어때,home_status_query
집안 어때?,home_status_query
집 상태,home_status_query
지금 집에 뭐 작동 중이야,home_status_query
집 상태 어때,home_status_query
집 상태 알려주세요,home_status_query
우리집 상태,home_status_query
지금 집 상태,home_status_query
집 상태 알려좀 줘,home_status_query
현재 집 상태,home_status_query
집 상태 알려줘,home_status_query
집 상태 알려줄래,home_status_query
집 상태 전체 보여줘,home_status_query
집 상태 알려줘?,home_status_query
집에 뭐 켜져있어,home_status_query
뭐 켜져있어?,home_status_query
우리집 지금 어때,home_status_query
집 상태 어때?,home_status_query
뭐 켜져있어,home_status_query
우리집 상태 알려줘,home_status_query
집 전체 상태,home_status_query
새로운 알림 있어,notification_query
새로운 알림 있어?,notification_query
공지사항 알려줘,notification_query
공지사항 알려해줘,notification_query
뭐 알림 왔어?,notification_query
미확인 알림,notification_query
공지사항 알려해,notification_query
공지사항 알려주세요,notification_query
알림 확인해줘,notification_query
오늘 알림 뭐 있어?,notification_query
알림 읽어줘,notification_query
미확인 알림 있어?,notification_query
알림 온거 있어?,notification_query
알림 있어,notification_query
알림 내용 알려줘,notification_query
뭐 알림 왔어,notification_query
오늘 알림,notification_query
공지사항 알려좀 줘,notification_query
오늘 알림 뭐 있어,notification_query
새 알림 있어,notification_query
알림 뭐 있어?,notification_query
알림 있나,notification_query
알림 있어?,notification_query
오늘 알림 뭐야,notification_query
미확인 알림 있어,notification_query
알림 뭐 왔어,notification_query
알림 뭐 있어,notification_query
오늘 알림 있어?,notification_query
새로운 알림?,notification_query
지금 뉴욕 몇 시야,time_query
지금 시간 말해줄래,time_query
시카고 몇 시야,time_query
지금 몇 시니,time_query
오늘의 날짜 보여줘,time_query
부산 은 몇시야,time_query
덴버 는 몇 시야,time_query
현재 날짜,time_query
파리 몇 시야,time_query
퍼스 몇 시야,time_query
몇 시인지 알려줘,time_query
부산 지금 몇 시지,time_query
다음 월요일 며칠이야,time_query
내일 은 며칠이야,time_query
오월 에 금요일이 몇 번 있어,time_query
월요일 의 실제 날짜는 뭐야,time_query
지금 시간 말해줘,time_query
지금 뉴욕시 몇 시야,time_query
다 다음 주 토요일 며칠이지,time_query
그 달 의 마지막 날은 뭐야,time_query
몇 시인지 알려주세요,time_query
시간이 몇 시야,time_query
올해 내 생일 무슨 요일이야,time_query
지금 몇 시야,time_query
경기도는 몇 시니,time_query
군산 지금 몇 시니,time_query
이달 셋째 주 월요일 은 며칠이야,time_query
다음 화요일 은 며칠이야,time_query
오늘 현재 날짜는 뭐야,time_query
나이지리아 라고스 의 현재 시간은 뭐야,time_query
날짜와 시간,time_query
보스턴 은 지금 몇 시인지 보여줘,time_query
우리 고향 의 현재 시간은 몇 시야,time_query
몇 시인지 말해줄 수 있어,time_query
팔일 이 월요일 이야 아니면 일요일 이야,time_query
천구백칠십이년 이월 사일 은 무슨 요일이었어,time_query
g. m. t. 시간,time_query
워싱턴 시간 알려줘,time_query
벌써 이십구 일 이니,time_query
오늘 며칠이야,time_query
삼십 일 일까지 있는 다음 달 은 언제야,time_query
오늘 삼월 육일 이야,time_query
시계 시간,time_query
플로리다 는 몇 시야,time_query
뉴욕 시간,time_query
이천 십 오년 이 월 십 칠일,time_query
이십이일 에 크리스마스 가 있어,time_query
일곱시 십분,time_query
오늘 날짜가 뭐야,time_query
캘리포니아 몇 시야,time_query
지금 인도 는 몇 시야,time_query
현재 시간 표시,time_query
삼월 이십구일 무슨 요일이야,time_query
현재 날짜 부탁해,time_query
천구백칠십이년 크리스마스 는 주말 이었어,time_query
오늘 날짜 알려줄 수 있어,time_query
지금 캐나다 시간 말해줘,time_query
현재 태평양 시간 몇 시야,time_query
모스크바 몇 시인지 알려줘,time_query
시간 좀 알려줄래,time_query
지금 시간 알려줄래,time_query
오늘 날짜 알고 싶어,time_query
olly 뉴욕 시간,time_query
이십삼일 은 주말 이야,time_query
현재 몇 시인지 말해줘,time_query
태평양표준 시로 지금 몇 시야,time_query
다른 도시 는 몇 시야,time_query
자카르타 시간 알려줘,time_query
뉴욕시 시간 보여줘,time_query
시간 알려해줘,time_query
두번째 토요일 은 십이일 이야,time_query
지금 현재 정확한 부산 시간 알려줘,time_query
도시 에서 자정 부터 몇 시간이 지났어,time_query
오후 네시 몇 분이야,time_query
동부 시간대로 몇 시야,time_query
중부 시간으로 현재 시간 좀 알려줘,time_query
보스턴의 현재 시간 보여줘,time_query
시간 알려주세요,time_query
몇시야,time_query
이십이일 은 무슨 요일이야,time_query
올해 할로윈 은 무슨요일이지,time_query
얼마나 내가 늦었어,time_query
지금 몇 시인지 알려줘,time_query
이십이일 은 언제야,time_query
시계보여줘,time_query
서울 시간 알려줘,time_query
현재 시간 말해줄 수 있어,time_query
뉴질랜드 웰링턴 시간,time_query
이달 이십이일 은 무슨 요일이야,time_query
오늘 닐짜가 어떻게 돼,time_query
광주 시간,time_query
부산 시간 알려줘,time_query
사 월 이십이 일은 무슨 요일이니,time_query
지금 몇시,time_query
오늘 날짜 부탁해,time_query
보스턴 의 현재 시간은 몇 시야,time_query
지금 뉴욕 시간,time_query
말레이시아 의 현재 시간 말해줘,time_query
일본 시간 알려줘,time_query
지금 시간,time_query
지금 뉴욕 은 몇 시야,time_query
보스턴 시간 알려줘,time_query
시간 알려해,time_query
지금 시각,time_query
삼월 이십삼일 무슨 요일이니,time_query
시간이 어떻게 돼,time_query
몇 시인지 알려줄래,time_query
지금 시간이랑 날짜 좀 알려줘,time_query
안녕 플로리다 올랜도 몇 시야,time_query
십일월 십사일 은 무슨 요일이야,time_query
베이징 시간 알려줘,time_query
지금 런던 몇 시인지 알려 줄래,time_query
플로리다 마이애미 는 지금 몇 시야,time_query
안녕 지금 몇 시야,time_query
이십사일 은 화요일 이야,time_query
오월 이십일일 무슨 요일이야,time_query
이 시간대 의 시간 알려줄 수 있어,time_query
댈러스 는 지금 몇 시야,time_query
오늘 은,time_query
몇 시인지,time_query
그 도시 는 몇 시야,time_query
시간 말해줘,time_query
몇 주차에 여름 시즌 시작이야,time_query
안녕 olly 오늘 며칠이야,time_query
홍콩 몇 시야,time_query
제네바 는 지금 몇 시야,time_query
올해 추석 며칠이야,time_query
오후 여덟 시까지 얼마나 남았어,time_query
도쿄 는 지금 몇 시야,time_query
다음 주 수요일 날짜가 어떻게 되지,time_query
십오일 무슨 요일이야,time_query
오늘의 날짜가 뭐지,time_query
시간 체크 해 줘,time_query
미국 동부는 지금 몇 시야,time_query
어린이날이 무슨 요일이야,time_query
현재 시간 좀,time_query
오늘 날짜 미국 식으로 알려줘,time_query
일본 다른 도시 의 시간 알려줘,time_query
siri 며칠이야,time_query
다음 토요일 은 며칠이야,time_query
이달 마지막 금요일 이 무슨 요일이야,time_query
이십이일 은 화요일 이야,time_query
서부 는 몇 시야,time_query
오늘 몇 월 며칠이야,time_query
오늘 의 날짜와 시간,time_query
다음 달 일일 이 무슨 요일인지 말해주세요,time_query
파리 는 정오 야,time_query
시간 알려줘?,time_query
한국 현재 시간 말해 줘,time_query
오늘의 날짜 알려주세요,time_query
오늘 며칠이니,time_query
몇 시인지 알려해,time_query
날짜와 시간 말해주세요,time_query
인도 현재 시간 알려줘,time_query
시간 알려 줄래,time_query
정오까지 몇 시간 남았어,time_query
뉴욕 과 비교해서 몇 시야,time_query
무슨 요일인지 알아,time_query
모스크바 시간 알려줘,time_query
산악 표준시 로 몇 시야,time_query
뉴델리 의 시간 알려줘,time_query
안녕 오늘 며칠이야,time_query
오늘 날짜 알려줘,time_query
오늘 사일 이야 오일 이야,time_query
벵갈루루 는 지금 몇 시야,time_query
오만이백십칠번째,time_query
런던 지금 몇 시야,time_query
시간 부탁해,time_query
전 전주 수요일 며칠이었지,time_query
내일의 날짜가 뭐지,time_query
오늘 날짜,time_query
시간,time_query
다음 달의 첫 번째 금요일 이 뭐지,time_query
지금 몇 시인지 말해주세요,time_query
몇 시야,time_query
다른 시간대 는 지금 몇 시야,time_query
내일 며칠이야,time_query
지금 현재 몇 시야,time_query
뉴욕 의 현재 시간 말해주세요,time_query
경기 시작 시간이 몇 시야,time_query
g. m. t. 로는 지금 몇 시야,time_query
삼월 이십일 무슨 요일이야,time_query
올해 칠월 사일 은 무슨 요일이야,time_query
이십사일 무슨 요일이야,time_query
오늘의 날짜 좀 말해줘,time_query
오늘 무슨 날이야,time_query
이십이 일 무슨 요일이야,time_query
현재 시간은 뭐야,time_query
무슨 요일인지 말해줄래,time_query
영국 몇 시야,time_query
지금 몇 시야?,time_query
이달 이십일 은 무슨 요일이야,time_query
해운대 의 현재 시간 알려줘,time_query
날짜,time_query
인도 의 현재 날짜는 뭐야,time_query
태평양표준시 현재 시간 알려줘,time_query
오월 이십오일까지 며칠 남았어,time_query
오늘 무슨 요일,time_query
두바이 는 몇 시야,time_query
올해 가장 해가 긴 날이 언제야,time_query
애리조나 는 무슨 시간대야,time_query
몇 시인지 알려줘?,time_query
이십오일 은 무슨 요일이야,time_query
영국 런던 시간 알려 줘,time_query
안녕 olly 지금 런던 몇 시야,time_query
이 시간 마치려면 몇 초가 남았어,time_query
olly 캘리포니아 몇 시야,time_query
이번 달 세 번째 월요일 며칠이야,time_query
샌프란시스코 의 시간 알려줄 수 있어요,time_query
오늘 의 요일과 시간 알려줘,time_query
지금 워싱턴 시간 알려줘,time_query
지금 뉴욕시 가 몇 시인지 알고 싶어,time_query
삼 월 십 일이 무슨 요일이니,time_query
다음주 월요일 며칠이야,time_query
중부 는 몇 시야,time_query
현재 중서부 시간 몇 시지,time_query
오늘 무슨 요일이지,time_query
한국 지금 몇 시일까,time_query
