intent,category,function,service_type,description,example_utterances
ac_exception,제어,에어컨,예외,지원 안 됨 (고장/절전/전체켜기),전체 다 켜 / 전기요금 아끼게 해 줘
ac_mode,제어,에어컨,모드변경,제습/송풍/자동/냉방 모드 변경,거실 제습으로 해 줘 / 거실 송풍해 줘
ac_mode_noroom,제어,에어컨,에러,공간명 누락 시 재요청,송풍해 줘
ac_mode_schedule,제어,에어컨,모드예약,취침 시 에어컨 모드 예약,자고있을 때 에어컨 자동모드로 해 줘
ac_off,제어,에어컨,전원OFF,에어컨 끄기,OO (공간명) 에어컨 꺼줘
ac_on,제어,에어컨,전원ON,에어컨 켜기,거실 에어컨 켜줘
ac_query,제어,에어컨,조회,에어컨 상태/온도/풍량 조회,지금 에어컨 어때? / 에어컨 다 켜져 있어?
ac_temp,제어,에어컨,온도설정,에어컨 온도 지정/조절,거실 에어컨 23도로 맞춰줘 / 거실 에어컨 낮춰줘
ac_wind,제어,에어컨,풍량풍향,풍량/풍향 조절,거실 에어컨 세게 해 줘 / 거실 에어컨 줄여줘
alarm_query,설정,모닝콜,조회,모닝콜 설정 관련 질문,모닝콜 설정하면 어떻게 되는거야? / 모닝콜 종료는 어떻게 하는거야?
alarm_set,설정,모닝콜,설정,모닝콜 설정/취소,매일 아침 6시 모닝콜이 울리고 / 울릴 때 조명과 환기 켜줘
car_history_delete,더보기,차량,삭제,차량 출입 내역 삭제,000000 차량 출입 정보만 삭제할 수 있어?
car_history_query,더보기,차량,조회,차량 출입 내역 조회,주차 출입 정보 확인하고 싶어
community_query,부가,커뮤니티,예약/조회,커뮤니티 시설 예약/조회,골프장 예약해 줘 / OOO 예약 취소해 줘
complex_info,부가,단지정보,조회,준공일/관리사무소/세대수 조회,우리 단지 준공일이 어떻게 되지? / 관리사무소 연락처 안내해 줘
curtain_close,제어,전동커튼,닫기,커튼 닫기,거실 전동커튼 닫아줘
curtain_open,제어,전동커튼,열기,커튼 열기,전동커튼 열어줘 / 거실 전동커튼 열어줘
curtain_query,제어,전동커튼,조회,커튼 상태 조회,전동커튼 열려있어?
curtain_schedule,제어,전동커튼,예약,커튼 예약,기상할 때 전체 전동커튼 열기 해 줘 / 매일 밤 저녁 9시에 침실 전동커튼을 닫아줘
curtain_stop,제어,전동커튼,멈춤,커튼 동작 중지,거실 전동커튼 열기 멈춰줘
door_open,통화,로비,문열기,공동현관 문 열기,문 열어/문 열어줘/열어줘
doorlock_open,제어,도어락,열기,도어락 열기,현관문/현관/현관도어락/도어락 열어줘
doorlock_query,제어,도어락,조회,도어락 상태 조회,도어락 상태 어때?
dust_query,부가,미세먼지,조회,미세먼지/공기질 조회,창문 열어도 괜찮아? / 환기해도 돼?
elevator_call,더보기,엘리베이터,호출,엘리베이터 호출,엘리베이터 불러줘/호출해 줘
elevator_query,더보기,엘리베이터,조회,엘리베이터 위치 조회,지금 엘리베이터 몇 층에 있어?
emergency,부가,비상,호출,비상/긴급 경보,경보 울려/긴급상황이야/비상상황이야/화재야/침입자 / 경보 울려
energy_alert_off,에너지,원격검침,알림해제,에너지 사용량 알림 해제,에너지 사용량 알림 꺼줘
energy_alert_on,에너지,원격검침,알림설정,에너지 사용량 초과 알림 설정,사용량 설정값이 초과되면 알려줘
energy_goal_set,에너지,원격검침,목표설정,에너지 사용량 목표 설정,전기 사용량 목표 설정해 줘 / 전기 사용량 목표를 300으로 설정해 줘
energy_usage_query,에너지,원격검침,조회,에너지 사용량 조회/비교,우리집 에너지 사용량 어때? / 우리집 전기를 가장 많이 쓴 달은 언제야?
ev_charging,더보기,전기차,조회,충전 상태/충전기 정보 조회,충전 상태 어때? / 000000 충전 상태? / 다됐어? / 얼마나 됐어?
fuel_exception,부가,유가정보,예외,유가 미지원 (예측/마진),오늘 최저가 할인하는 곳 있어? / 기다리면 휘발유 떨어질까?
fuel_price_query,부가,유가정보,가격조회,휘발유/경유 가격 조회,유가 어때? / 고급 휘발유 얼마야?
fuel_station_search,부가,유가정보,주유소검색,주유소 검색/추천,근처에서 제일 싼 주유소 어디야? / 가까운 저가 주유소 추천해줘
gas_close,제어,가스,잠금,가스 밸브 잠금,가스 밸브 닫아줘 / 열어줘 / 가스 밸브 잠금해
