question,label
집 상태 어때,home_status_query
집 상태 알려줘,home_status_query
지금 집 어때,home_status_query
알림 있어,notification_query
새로운 알림,notification_query
공지사항 알려줘,notification_query
오늘 알림 뭐 있어,notification_query
지금 몇 시야,time_query
시간 알려줘,time_query
몇 시인지 알려줘,time_query
네가 할 수 있는 일이 뭐야,manual_query
사용법 알려줘,manual_query
너는 누가 만들었어,manual_query
너는 뭐라고 불러,manual_query
이름 바꾸고 싶어,manual_query
네 이름이 뭐야,manual_query
월패드 사용법,manual_query
문 열어줘,door_open
현관문 열어줘,door_open
열어줘,door_open
문 좀 열어,door_open
로비 문 열어,door_open
불 켜져있어,light_query
조명 상태,light_query
조명 켜져있어,light_query
주방 불 켜져있어,light_query
불 켜줘,light_on
조명 켜줘,light_on
전등 켜줘,light_on
어두워,light_on
안 보여,light_on
밝게 해줘,light_on
불 좀 켜줘,light_on
거실 불 켜줘,light_on
전체 조명 켜줘,light_on
불 꺼줘,light_off
조명 꺼줘,light_off
전등 꺼줘,light_off
너무 밝아,light_off
눈부셔,light_off
조명 은은하게,light_dim
아늑하게,light_dim
분위기있게,light_dim
영화보기 좋게,light_dim
밝기 조절,light_dim
거실 조명 어둡게,light_dim
커튼등 켜줘,light_specific
간접등 켜줘,light_specific
다운라이트 켜줘,light_specific
식탁 다운라이트,light_specific
조명 예약,light_schedule
취침모드,light_schedule
조명 예약 있어,light_schedule
취침모드 설정,light_schedule
온도 어때,heating_query
난방 상태,heating_query
실내 온도,heating_query
지금 온도 몇도,heating_query
난방 켜줘,heating_on
보일러 켜줘,heating_on
너무 추워,heating_on
춥다,heating_on
얼어 죽겠다,heating_on
쌀쌀하다,heating_on
전체 난방 켜줘,heating_on
각 침실 난방 켜줘,heating_on
난방 꺼줘,heating_off
보일러 꺼줘,heating_off
난방 올려줘,heating_up
온도 올려줘,heating_up
더 따뜻하게,heating_up
전체 난방 올려줘,heating_up
난방 낮춰줘,heating_down
온도 낮춰줘,heating_down
좀 덜 뜨겁게,heating_down
난방 예약,heating_schedule
난방 예약 있어,heating_schedule
난방 예약 취소,heating_schedule
난방 예약 모두 취소,heating_schedule
외출 모드,heating_away
외출 모드로 해줘,heating_away
외출 난방,heating_away
난방 외출 모드,heating_away
에어컨 어때,ac_query
