question,label
야 먼지 알려주겠니,dust_query
아니 먼지 정보 알려주세요,dust_query
그 때 미세먼지 어떨까,dust_query
그 때 먼지 좋으려나,dust_query
미세먼지 어떨 것 같은데,dust_query
그러면 미세먼지 어때,dust_query
미세먼지 말해줄래,dust_query
먼지 미세먼지,dust_query
참 먼지 많이 꼈나,dust_query
참 먼지 어떠냐,dust_query
야 미세먼지 어때,dust_query
토요일 먼지 알려줘,dust_query
헐 먼지 어떠려나,dust_query
전주 미세먼지 어떤지 말해줘,dust_query
미세먼지 궁금해서 물어봤어,dust_query
아 그러면 먼지 알려주세요,dust_query
아 맞다 먼지 어떠려나,dust_query
저기 현재 먼지 어떠려나,dust_query
토요일 먼지 알려주겠니,dust_query
먼지 궁금해,dust_query
지금 먼지 어떤데,dust_query
저기 미세먼지 어떨까,dust_query
먼지 완전 문젠데,dust_query
세종 먼지 한 번 알려줘,dust_query
모레 먼지 궁금해,dust_query
먼지 궁금해요,dust_query
미세먼지 어떨까,dust_query
지금 미세먼지 어떨까 심해지네,dust_query
현재 미세먼지 어떨까,dust_query
공기 미세먼지 좀 알려줄래,dust_query
미세먼지 먼지,dust_query
미세먼지 좀 먼지,dust_query
월요일 근데 먼지 어떠려나,dust_query
미세먼지 없니 현재,dust_query
지금 미세먼지 없니 현재,dust_query
공기 미세먼지 현재,dust_query
공기상태 알려줘,dust_query
아 먼지 심하네,dust_query
어떤데 먼지,dust_query
먼지 알려줬으면 졸겠어,dust_query
미세먼지 없나 하,dust_query
지금 먼지 많네,dust_query
월요일 여행갈건데 먼지 알려줘,dust_query
먼지 궁금하네,dust_query
토요일 먼지 심하니,dust_query
월요일 미세먼지 심할까,dust_query
먼지 많이 심하려나,dust_query
알려주세요 먼지,dust_query
먼지 꼈나,dust_query
먼지 끼었나,dust_query
현재 지금 먼지 많니,dust_query
먼지 알려주세요 궁금해요,dust_query
미세먼지 혹시라도 심할까,dust_query
먼지 안 심해야 하는데,dust_query
나한테 공기상태 알려줘,dust_query
나 궁금한데 미세먼지 알려줘,dust_query
여행 갈건데 미세먼지 어때,dust_query
나 서울 여행 가는데 미세먼지 알려줘,dust_query
월요일 먼지 깨끗하니,dust_query
서울 다음 주 먼지 알려줄래요,dust_query
부안 먼지 어떻게 돼,dust_query
토요일 서천 미세먼지 어떨까 좀 알려줄수 있니,dust_query
월요일 공기상태 알려줄수 있어,dust_query
이번 주 가로수길 미세먼지 알려줄래,dust_query
구암 다음 주 미세먼지 알려줘,dust_query
이번 주 영등포 먼지 말해줘,dust_query
구로 다음 주 미세먼지 알려줄래,dust_query
일산 미세먼지 어떨까 어떻게 돼요,dust_query
토요일 안암 미세먼지 어떨까 좀 알려줄수 있니,dust_query
월요일 미세먼지 알려줄 수 있어,dust_query
이번 주 홍대 미세먼지 알려줄래,dust_query
남구 다음 주 미세먼지 알려줘,dust_query
이번 주 보령 먼지 줘,dust_query
공기 미세먼지,dust_query
공기 먼지 심하니,dust_query
현재 미세먼지 많이 없니,dust_query
먼지 많이 없니,dust_query
공기 많이 깨끗하지,dust_query
여행 가는데 먼지 많이 심할까,dust_query
알려줘 공기상태 미세먼지 궁금해,dust_query
월요일 마스크 챙길까,dust_query
마스크 써야하나,dust_query
이번 주 먼지 많이 없니,dust_query
월요일 먼지 심하겠지,dust_query
헉 혹시 먼지 심할까,dust_query
먼지 심하니,dust_query
월요일 미세먼지 어떨까 나쁠까,dust_query
먼지 심하겠지 글쎄,dust_query
먼지 심해지려나,dust_query
토요일 먼지 심하니,dust_query
미세먼지 알려줘,dust_query
화요일 미세먼지 어떨까 나쁠까,dust_query
공기 미세먼지 나쁠까,dust_query
혹시 화요일 먼지 심하니 마스크 챙길까,dust_query
마스크 필요하니,dust_query
화요일 마스크 필요할까,dust_query
마스크 챙겨야하나 모르겠네,dust_query
밀양 먼지 심하면 안되는데,dust_query
공기 미세먼지 그 때,dust_query
혹시 먼지 심하니,dust_query
그 때 혹시 미세먼지 어떨까 나쁠까,dust_query
나 화요일 여행가는데 미세먼지 알려줘,dust_query
그럼 미세먼지 혹시 심하려나 하,dust_query
하늘 심하니,dust_query
미세먼지 없으려,dust_query
먼지 꼈니,dust_query
강남 미세먼지 심할까,dust_query
공기 미세먼지 심해질까,dust_query
그 때 하늘 어떠려나,dust_query
하늘 미세먼지 많이 심하니 그 날,dust_query
먼지 어떨 것 같아,dust_query
이번 주 먼지 깨끗하니,dust_query
많이 먼지 심하면 안될텐데,dust_query
다음 주 미세먼지 알려줘,dust_query
화요일 먼지 심할까,dust_query
화요일 혹시 서대문구 먼지 없으려나,dust_query
토요일 미세먼지 심하니,dust_query
군산 미세먼지 어떨까 좋으려나,dust_query
공기 미세먼지 나쁠까 정말,dust_query
먼지 없을까,dust_query
화요일 미세먼지 심하겠지 글쎄,dust_query
화요일 미세먼지 심하면 안되는데,dust_query
혹시 미세먼지 안심하겠지,dust_query
의정부 미세먼지 없을까,dust_query
수요일 마스크 필요해,dust_query
마스크 쓸까,dust_query
수요일 마스크 챙길까 말까,dust_query
먼지 궁금한데 알려주겠니,dust_query
혹시 미세먼지 알려줘,dust_query
수요일 동두천 먼지 궁금해요,dust_query
수요일 먼지 궁금해,dust_query
먼지 많이 심한가,dust_query
서울 미세먼지 알려주겠니,dust_query
부산 먼지 정보 알려주세요,dust_query
혹시 그 때 대구 미세먼지 어떨까,dust_query
그 때 대전 먼지 좋겠지,dust_query
먼지 어떨 것 같은데,dust_query
울산 미세먼지 어떨까요,dust_query
송파구 황사 미세먼지,dust_query
덕진구 현재 먼지 말해주겠니,dust_query
청주 황사 미세먼지,dust_query
토요일 전주 황사 알려줘,dust_query
먼지 어떠려나,dust_query
그럼 구리 황사 미세먼지,dust_query
전주 황사 어떤지 좀 말해줘,dust_query
창원 황사 궁금해서 물어봤어요,dust_query
경기도 황사 알려주세요,dust_query
공기 어떠려나,dust_query
현재 먼지 어떠려나,dust_query
현재공기 어떠려나,dust_query
토요일 황사 알려주겠니,dust_query
먼지 궁금해,dust_query
현재 황사 어떤데,dust_query
저기 북구 황사 미세먼지,dust_query
현재 인천 황사 완전 문젠데,dust_query
완주 모레 동대구 황사 궁금해,dust_query
먼지 궁금해요,dust_query
완산구 현재 미세먼지 어떨까 좋니,dust_query
지금 황사 미세먼지,dust_query
송파구 미세먼지 어떨까 좀 알려줄래,dust_query
궁금해 부천 미세먼지,dust_query
미세먼지 좀 안산 먼지,dust_query
수요일 근데 원주 황사 어떠려나,dust_query
울산 지금 미세먼지 없니,dust_query
하늘 미세먼지 없니 지금,dust_query
광주 공기상태 알려줘,dust_query
어떤데 먼지,dust_query
먼지 알려줬으면 졸겠어,dust_query
평창 황사 알려줘,dust_query
토요일 미세먼지 없나,dust_query
모레 여행갈건데 먼지 알려줘,dust_query
먼지 궁금하네,dust_query
토요일 먼지 심하니,dust_query
수요일 오존 미세먼지,dust_query
알려주세요 춘천 먼지,dust_query
광주 북구 먼지 어떠려나,dust_query
먼지 알려주세요 궁금해요,dust_query
그 날 먼지 많이 심하겠지,dust_query
맑으려나 수요일,dust_query
먼지 궁금해서,dust_query
먼지 안 심해야 하는데,dust_query
무주 공기상태 알려줘,dust_query
수요일 먼지 깨끗하니,dust_query
미세먼지 심할까,dust_query
하늘 미세먼지 어떨까,dust_query
하늘 먼지 심하니,dust_query
지금 남원 오존 많이 없니,dust_query
지금 경부 지방 많이 오존 심할까,dust_query
먼지 많이 심할까,dust_query
알려줘 은평구 먼지,dust_query
노원구 먼지 궁금하네,dust_query
수요일 마스크 챙길까,dust_query
진짜 영덕 미세먼지 어떨까 하,dust_query
임실 수요일 혹시 마스크 써야하나,dust_query
이번 주 먼지 많이 없니,dust_query
수요일 먼지 심하겠지,dust_query
홍대 혹시 오존 심할까,dust_query
서울 먼지 심하니,dust_query
먼지 껴서 흐린가,dust_query
먼지 심하진 않겠지,dust_query
너무 먼지 심하지 않으려나,dust_query
마스크 글쎄 챙겨야겠지,dust_query
해운대 목요일 먼지 없을까,dust_query
오수 먼지 심하겠지 글쎄,dust_query
그 떄 오존 심할까,dust_query
먼지 심해지려나,dust_query
오존 알려줘,dust_query
서귀포 목요일 미세먼지 어떨까 나쁠까,dust_query
먼지 심하면 안되는데,dust_query
제주 많이 미세먼지 어떨까 나쁠까,dust_query
먼지 너무 많이 없나,dust_query
혹시 목요일 먼지 심하니 마스크 챙길까,dust_query
여수 지금 마스크 필요하니,dust_query
순천 목요일 마스크 필요할까,dust_query
마스크 챙겨야하나 모르겠네,dust_query
먼지 심하면 안되는데,dust_query
건대 입구 미세먼지 어떨까 그 때,dust_query
혹시 먼지 심하니,dust_query
그 때 혹시 미세먼지 어떨까 나쁠까,dust_query
나 목요일 여행가는데 먼지 알려줘,dust_query
그럼 미세먼지 혹시 심하려나,dust_query
하늘 심하니,dust_query
지금 먼지 없나,dust_query
오존 없으려나,dust_query
이번 주 심할까,dust_query
공기 미세먼지 심해질까,dust_query
그 때 하늘 어떠려나,dust_query
하늘 오존 많이 심하니 그 날,dust_query
먼지 어떨 것 같아,dust_query
이번 주 먼지 깨끗하니,dust_query
많이 먼지 심하면 안될텐데,dust_query
다음 주 미세먼지 알려줘,dust_query
목요일 먼지 심할까,dust_query
먼지 많이 심하니,dust_query
영월 먼지 많이 심한가,dust_query
금요일 혹시 먼지 없으려나,dust_query
일요일 오존 심하니,dust_query
공기 미세먼지 좋으려나,dust_query
1월 1일 먼지 심한가요,dust_query
2월 12일 오존 심하려나,dust_query
3월 3일 오존 심한가,dust_query
4월 14일 먼지 심한가요,dust_query
5월 5일 추워서 오존 심한가,dust_query
8일 호성동 먼지 알려줘,dust_query
6월 22일 먼지 심한가요,dust_query
12월 11일 미세먼지 어떠려나,dust_query
3월 2O일 먼지 와,dust_query
7월 4일 오존 와,dust_query
3월 17일 전주 하늘 먼지 심하니,dust_query
4월 12일 먼지 심해서 안 되겠다,dust_query
이번 주 토요일 먼지 심하니,dust_query
2월 1O일 먼지 심하니,dust_query
경주 이번 주 드디어 맑아,dust_query
4월 11일 오존 심한가요,dust_query
2월 2O일 먼지 와,dust_query
8월 4일 오존 와,dust_query
1O월 16일 먼지 심하니,dust_query
이번 주 수요일 먼지 심하니,dust_query
11월 6일 청원 먼지 심하니,dust_query
이천 이번 주 심하려나 하늘,dust_query
먼지 없을까,dust_query
금요일 오산 오존 심하겠지 글쎄,dust_query
금요일 오존 심하니,dust_query
혹시 오존 안심하겠지,dust_query
그 날 먼지와서 힘들겠지,dust_query
오존 없을까,dust_query
약속 잡았는데 먼지 심하네,dust_query
금요일 진주 마스크 필요해,dust_query
마스크 쓸까 말해줘,dust_query
울릉도 금요일 마스크 챙길까 말까,dust_query
먼지 궁금한데 알려주겠니,dust_query
혹시 먼지 알려줘,dust_query
인천 금요일 먼지 궁금해요,dust_query
내일모레 먼지 궁금해,dust_query
내일 먼지 깨끗하니,dust_query
이천 하늘 미세먼지 어떨까,dust_query
화순 하늘 먼지 심하니,dust_query
지금 남원 오존 많이 없니,dust_query
지금 경부 지방 먼지 많이 없니,dust_query
공기 깨끗하니,dust_query
노원구 먼지 궁금하네,dust_query
이따가 마스크 챙길까,dust_query
이태원 마스크 써야하나,dust_query
이번 주 먼지 많이 없니,dust_query
내일 먼지 심하겠지,dust_query
일요일 먼지 알려주세요,dust_query
혹시 이따 미세먼지 어떨까 좀 알려줄래요,dust_query
내일 먼지 알려주세요,dust_query
저번 주 먼지 말해주세요,dust_query
이번 주 먼지 없니,dust_query
먼지 어떠냐,dust_query
지금 어떤데 먼지,dust_query
다음 주 광명 먼지 알려주세요,dust_query
지금 평택 먼지 알려주세요,dust_query
