번호,구분,intent,발화,NLU fn,AIDL/REST,채널,상태
1,메인,home_status_query,지금 집 상태 어때?,home_info,remote_get_home_total_device,AIDL,✅
2,메인,notification_query,오늘 새로운 알림 있어?,home_info,/v2/ai/announcements,REST,🔵 REST
3,메인,time_query,지금 몇 시야?,home_info,월패드 자체 시계,SELF,⚪ 자체
4,메인,manual_capability,네가 할 수 있는 일이 뭐야?,system_meta,내부 FAQ,SELF,⚪ 자체
5,메인,manual_usage,월패드 사용법을 가르쳐줘,system_meta,내부 FAQ,SELF,⚪ 자체
6,메인,manual_creator,너는 누가 만들었어?,system_meta,내부 FAQ,SELF,⚪ 자체
7,메인,manual_name,너는 뭐라고 불러?,system_meta,내부 FAQ,SELF,⚪ 자체
8,메인,manual_unsupported,네 이름을 바꾸고 싶어,system_meta,내부 FAQ,SELF,⚪ 자체
9,통화,door_open,문 열어/문 열어줘/열어줘,door_control,?? 명세 미정,?,❓ 미분류
10,제어,light_query,주방 불 켜져있어?,light_control,remote_access_livinglight (status),AIDL,✅
11,제어,light_query,주방 불 켜져있어?,light_control,remote_access_livinglight (status),AIDL,✅
12,제어,light_on,(공간명 지정이 없을 때) 불 좀 켜줘,light_control,remote_access_livinglight or _light,AIDL,✅
13,제어,light_dim,거실 조명 은은하게/아늑하게/분위기있게/영화보기 좋게 해 줘,light_control,remote_access_dimming_livinglight,AIDL,✅
14,제어,light_on,거실 '커튼등/간접등' 만 켜 줘,light_control,remote_access_livinglight or _light,AIDL,✅
15,제어,light_on,식탁/주방 '다운라이트' 만 켜 줘,light_control,remote_access_livinglight or _light,AIDL,✅
16,제어,light_on,전체 조명 켜 줘,light_control,remote_access_livinglight or _light,AIDL,✅
17,제어,light_brighten,거실이 좀 어두침침한데?,light_control,remote_access_dimming_livinglight,AIDL,✅
18,제어,light_schedule,조명 예약 뭐있어?,schedule_manage,remote_access_schedule(light),AIDL,🔴 신규-schedule
19,제어,light_schedule,취침모드 설정된/예약 어떻게 되어 있어?,schedule_manage,remote_access_schedule(light),AIDL,🔴 신규-schedule
20,제어,heating_query,지금 온도 어때?,heat_control,remote_access_temper (status),AIDL,✅
21,제어,heating_on,전체 난방 켜 줘,heat_control,remote_access_temper,AIDL,✅
22,제어,heating_on,각 침실 난방 켜 줘,heat_control,remote_access_temper,AIDL,✅
23,제어,heating_up,전체 난방 좀 올려줘,heat_control,remote_access_temper,AIDL,✅
24,제어,heating_up,난방 좀 올려줘,heat_control,remote_access_temper,AIDL,✅
25,제어,heating_schedule_query,난방 예약 있어?,schedule_manage,remote_access_schedule(temper),AIDL,🔴 신규-schedule
26,제어,heating_schedule_cancel,난방 예약을 모두 취소해 줘,schedule_manage,remote_access_schedule(temper),AIDL,🔴 신규-schedule
27,제어,heating_schedule_set,오전 10시부터 오후 4시까지 전체 난방 외출 모드로 해 줘,schedule_manage,remote_access_schedule(temper),AIDL,🔴 신규-schedule
28,제어,ac_query,지금 에어컨 어때?,ac_control,remote_access_sysaircon (status),AIDL,✅
29,제어,ac_query,에어컨 다 켜져 있어?,ac_control,remote_access_sysaircon (status),AIDL,✅
30,제어,ac_query,에어컨 되고 있나?,ac_control,remote_access_sysaircon (status),AIDL,✅
31,제어,ac_query,에어컨 설정 온도는?,ac_control,remote_access_sysaircon (status),AIDL,✅
32,제어,ac_query,거실 바람 세기 뭐야?,ac_control,remote_access_sysaircon (status),AIDL,✅
33,제어,ac_on,거실 에어컨 켜줘,ac_control,remote_access_sysaircon,AIDL,✅
34,제어,ac_off,OO (공간명) 에어컨 꺼줘,ac_control,remote_access_sysaircon,AIDL,✅
35,제어,ac_temp,거실 에어컨 23도로 맞춰줘,ac_control,remote_access_sysaircon (set_temp),AIDL,✅
36,제어,ac_temp,거실 에어컨 낮춰줘,ac_control,remote_access_sysaircon (set_temp),AIDL,✅
37,제어,ac_mode,거실 제습으로 해 줘,ac_control,remote_access_sysaircon (operation_mode),AIDL,✅
38,제어,ac_mode,거실 송풍해 줘,ac_control,remote_access_sysaircon (operation_mode),AIDL,✅
39,제어,ac_wind,거실 에어컨 세게 해 줘,ac_control,remote_access_sysaircon (wind),AIDL,✅
