intent,type,device/api,action,slots,response_template
ac_exception,fixed,,,,"저는 조명, 난방, 에어컨, 환기 시스템을 켤 수 있어요. 필요한 것을 정해서 말씀해주세요"
ac_mode,device,ac,set_mode,"room,mode","네, {room} 에어컨을 {mode} 모드로 설정합니다"
ac_mode_noroom,fixed,,,,에어컨을 송풍으로 제어할 공간명을 포함하여 다시 말씀해주세요
ac_mode_schedule,device,ac,schedule_mode,"time,mode","네, {room} 에어컨을 {mode}모드로 운전합니다"
ac_off,device,ac,power_off,room,"네, {room} 에어컨을 끕니다"
ac_on,device,ac,power_on,room,"네, {room} 에어컨을 켭니다"
ac_query,api,ac,,,"각 실은 꺼져 있고, 거실은 자동 모드로 작동 중이며 설정 온도는 22도 입니다."
ac_temp,device,ac,set_temp,"room,temp","네, {room} 에어컨 온도를 {temp}도로 설정합니다"
ac_wind,device,ac,set_wind,"room,level","네, {room} 에어컨 풍량을 {level}으로 설정합니다"
alarm_query,api,alarm,,,모닝콜이 울릴 때 월패드 화면에 팝업이 뜨고 알림음이 함께 나옵니다.
alarm_set,device,alarm,set,,"네, 모닝콜이 설정되었습니다."
car_history_delete,device,parking,delete,,월패드 차량출입내역 메뉴에서 전체 삭제 버튼을 눌러서 삭제 가능합니다.
car_history_query,api,parking,,,세대에 등록된 차량의 주차 출입 정보만 확인 할 수 있습니다.
community_query,fixed,,,,골프장 예약은 입주민 전용 앱 또는 월패드 화면에서 진행해주시기 바랍니다. (고정값)
complex_info,api,complex_info,,,르엘 어퍼하우스는 0000년 0월 0일 준공 승인되었습니다.
curtain_close,device,curtain,close,room,"네, {room} 전동커튼을 닫고 있습니다"
curtain_open,device,curtain,open,room,"네, {room} 전동커튼을 열고 있습니다"
curtain_query,api,curtain,,,"네, 전체 전동커튼이 열려 있습니다."
curtain_schedule,device,curtain,schedule,time,네 내일부터 모닝콜이 울리는 시간에 전체 전동커튼 열겠습니다
curtain_stop,device,curtain,stop,room,"네, {room} 전동커튼 동작을 중단시켰습니다"
door_open,device,door,open,room,"네, {room} 문을 열었습니다"
doorlock_open,device,doorlock,open,room,"네, {room} 도어락을 열었습니다"
doorlock_query,api,doorlock,,,현재 도어락 상태는 알 수 없습니다.
dust_query,api,air_quality,,,현재 OO구 OO동 초미세먼지가 나쁨 수준으로 창문 개방은 권장하지 않습니다.
elevator_call,device,elevator,call,,"네, 엘리베이터를 호출합니다."
elevator_query,api,elevator,,,실시간 엘리베이터 층수는 호출 시 월패드 화면에 표시됩니다.
emergency,device,emergency,emergency,,(비상 경보)
energy_alert_off,device,energy,off,,에너지 사용량 알림을 비활성화합니다.
energy_alert_on,device,energy,on,,목표 수치가 설정된 전기 사용량 알림을 활성화합니다.
energy_goal_set,device,energy,set,,최근 3개월 간 사용량은 000kWh 입니다. 목표 수치를 숫자로 말씀해주세요
energy_usage_query,api,energy,,,최근 3개월 간 에너지 사용량이 감소하고 있습니다.
ev_charging,api,ev,,,현재 세대 충전 차량은 총 0대 입니다. 충전 상태 확인이 필요한 차량번호를 말씀해주세요
fuel_exception,fixed,,,,죄송합니다. 해당 기능은 지원하지 않는 기능입니다.
fuel_price_query,api,fuel,,,"전국 평균 휘발유는 0000원, 경유는 0000원입니다."
fuel_station_search,api,fuel,,,"반경 3km 내 최저가는 ○○주유소, 1,698원입니다."
gas_close,device,gas,close,room,"네, {room} 가스 밸브를 잠금 처리하였습니다"
