question,label
집 상태 어때,home_status_query
집 상태 알려줘,home_status_query
집 상태 알려줄래,home_status_query
집 상태 알려줘?,home_status_query
집 상태 알려주세요,home_status_query
집 상태 알려좀 줘,home_status_query
집 상태 알려해,home_status_query
집 상태 알려해줘,home_status_query
지금 집 어때,home_status_query
알림 있어,notification_query
알림 있어?,notification_query
새로운 알림,notification_query
새로운 알림?,notification_query
공지사항 알려줘,notification_query
공지사항 알려주세요,notification_query
공지사항 알려줄래,notification_query
공지사항 알려좀 줘,notification_query
공지사항 알려줘?,notification_query
공지사항 알려해줘,notification_query
공지사항 알려해,notification_query
오늘 알림 뭐 있어,notification_query
오늘 알림 뭐 있어?,notification_query
지금 몇 시야,time_query
지금 몇 시야?,time_query
시간 알려줘,time_query
시간 알려주세요,time_query
시간 알려줄래,time_query
시간 알려해줘,time_query
시간 알려줘?,time_query
시간 알려해,time_query
시간 알려좀 줘,time_query
몇 시인지 알려줘,time_query
몇 시인지 알려해,time_query
몇 시인지 알려줘?,time_query
몇 시인지 알려좀 줘,time_query
몇 시인지 알려줄래,time_query
몇 시인지 알려해줘,time_query
몇 시인지 알려주세요,time_query
네가 할 수 있는 일이 뭐야,manual_query
네가 할 수 있는 일이 뭐야?,manual_query
사용법 알려줘,manual_query
사용법 알려주세요,manual_query
사용법 알려해,manual_query
사용법 알려좀 줘,manual_query
사용법 알려줄래,manual_query
사용법 알려해줘,manual_query
사용법 알려줘?,manual_query
너는 누가 만들었어,manual_query
너는 누가 만들었어?,manual_query
너는 뭐라고 불러,manual_query
너는 뭐라고 불러?,manual_query
이름 바꾸고 싶어,manual_query
이름 바꾸고 싶어?,manual_query
네 이름이 뭐야,manual_query
네 이름이 뭐야?,manual_query
월패드 사용법,manual_query
월패드 사용법?,manual_query
문 열어줘,door_open
문 열어좀 줘,door_open
문 열어줘?,door_open
문 열어주세요,door_open
문 열어해줘,door_open
문 열어해,door_open
문 열어줄래,door_open
현관문 열어줘,door_open
현관문 열어해,door_open
현관문 열어좀 줘,door_open
현관문 열어줘?,door_open
현관문 열어주세요,door_open
현관문 열어줄래,door_open
현관문 열어해줘,door_open
열어줘,door_open
열어줄래,door_open
열어좀 줘,door_open
열어해,door_open
열어해줘,door_open
열어줘?,door_open
열어주세요,door_open
