utterance,preprocessed,fn_exp,fn_pred,exec_exp,exec_pred,dir_exp,dir_pred,conf,categories
엘베 좀,엘리베이터이터 좀,elevator_call,elevator_call,control_then_confirm,query_then_respond,on,none,1.000,exec:control_then_confirm→query_then_respond;dir:missing;length:very_short
알람 취소해줘,알람 취소해줘,schedule_manage,system_meta,control_then_confirm,control_then_confirm,off,set,0.999,fn:schedule_manage→system_meta;pattern:schedule_vs_system;dir:off→set;length:very_short
소리 줄여줘,소리 줄여줘,home_info,home_info,control_then_confirm,control_then_confirm,down,up,0.998,dir:opposite_direction;length:very_short
좀 시원하게,좀 시원하게,ac_control,heat_control,control_then_confirm,control_then_confirm,on,on,0.981,fn:ac_control→heat_control;length:very_short
전체 꺼,전체 꺼,ac_control,light_control,control_then_confirm,control_then_confirm,off,off,0.349,fn:ac_control→light_control;length:very_short
전화해줘,전화해줘,unknown,home_info,direct_respond,direct_respond,none,none,0.969,fn:unknown_to_known;length:very_short
에어컨 풀가동,에어컨 풀가동,ac_control,ac_control,direct_respond,control_then_confirm,none,none,0.998,exec:direct_as_control;length:very_short
조명,조명,light_control,light_control,direct_respond,control_then_confirm,none,none,1.000,exec:direct_as_control;length:very_short
에어컨,에어컨,ac_control,ac_control,direct_respond,control_then_confirm,none,none,0.999,exec:direct_as_control;length:very_short
난방 왜 안 나와,난방 왜 안 나와,heat_control,light_control,query_then_respond,query_then_respond,none,none,0.682,fn:heat_control→light_control;length:short
거실 좀 어두운데,거실 좀 어두운데,light_control,light_control,control_then_confirm,control_then_confirm,down,on,1.000,dir:down→on;length:short
거실이 너무 환해,거실이 너무 환해,light_control,vent_control,control_then_confirm,control_then_confirm,on,on,0.993,fn:light_control→vent_control;length:short
안방 에어컨 작동 중이야?,안방 에어컨 작동 중이야?,ac_control,ac_control,query_then_respond,control_then_confirm,none,none,1.000,exec:query_as_control;length:short
화면 밝기,화면 밝기,home_info,system_meta,control_then_confirm,control_then_confirm,none,down,0.765,fn:home_info→system_meta;pattern:home_vs_system;dir:spurious;length:very_short
월패드 소리,월패드 소리,home_info,home_info,control_then_confirm,control_then_confirm,down,up,0.985,dir:opposite_direction;length:very_short
서울 날씨,서울 날씨,weather_query,unknown,direct_respond,direct_respond,none,none,0.980,fn:known_to_unknown;length:very_short
국제 뉴스,국제 뉴스,news_query,unknown,query_then_respond,direct_respond,none,none,0.988,fn:known_to_unknown;exec:query_then_respond→direct_respond;length:very_short
간접등 켜줘,조명 켜줘,light_control,light_control,clarify,control_then_confirm,on,on,1.000,exec:clarify→control_then_confirm;length:very_short
다운라이트 켜,다운조명 켜,light_control,light_control,control_then_confirm,direct_respond,none,none,0.984,exec:control_then_confirm→direct_respond;length:very_short
취침등,조명,light_control,light_control,control_then_confirm,control_then_confirm,set,none,1.000,dir:missing;length:very_short
타이머 설정,타이머 설정,schedule_manage,schedule_manage,query_then_respond,control_then_confirm,none,set,0.999,exec:query_as_control;dir:spurious;length:very_short
알림 뭐야,알림 뭐야,home_info,system_meta,direct_respond,direct_respond,none,none,0.996,fn:home_info→system_meta;pattern:home_vs_system;length:very_short
작년보다 추워?,작년보다 추워?,weather_query,energy_query,query_then_respond,query_then_respond,none,none,0.893,fn:weather_query→energy_query;length:very_short
와이파이 비번 뭐야,와이파이 비번 뭐야,unknown,system_meta,direct_respond,direct_respond,none,none,0.673,fn:unknown_to_known;length:short
거실 등 좀 밝게,거실 등 좀 밝게,light_control,light_control,control_then_confirm,control_then_confirm,down,up,1.000,dir:opposite_direction;length:short
에어컨 바람,에어컨 바람,ac_control,ac_control,control_then_confirm,control_then_confirm,down,none,1.000,dir:missing;length:very_short
현관 잠금,현관 잠금,door_control,door_control,control_then_confirm,control_then_confirm,close,open,1.000,dir:opposite_openclose;length:very_short
월패드 밝기,월패드 밝기,home_info,system_meta,control_then_confirm,control_then_confirm,down,none,0.781,fn:home_info→system_meta;pattern:home_vs_system;dir:missing;length:very_short
알람 설정해줘,알람 설정해줘,schedule_manage,system_meta,control_then_confirm,control_then_confirm,set,set,1.000,fn:schedule_manage→system_meta;pattern:schedule_vs_system;length:very_short
에너지 목표,에너지 목표,energy_query,energy_query,direct_respond,control_then_confirm,none,none,1.000,exec:direct_as_control;length:very_short
운동하기 좋아?,운동하기 좋아?,weather_query,weather_query,direct_respond,query_then_judge,none,none,0.987,exec:direct_respond→query_then_judge;length:very_short
남방 꺼쥬,난방 꺼쥬,heat_control,heat_control,control_then_confirm,control_then_confirm,on,off,1.000,dir:opposite_onoff;length:very_short;style:colloquial
난방 스물다섯도,난방 스물다섯도,heat_control,heat_control,control_then_confirm,direct_respond,set,none,0.990,exec:control_then_confirm→direct_respond;dir:missing;length:very_short;has_korean_number
에어컨꺼,에어컨 꺼,ac_control,ac_control,control_then_confirm,control_then_confirm,on,off,1.000,dir:opposite_onoff;length:very_short
히팅 켜줘,난방 켜줘,heat_control,heat_control,control_then_confirm,control_then_confirm,up,on,1.000,dir:up→on;length:very_short
온도 설정,온도 설정,heat_control,heat_control,query_then_respond,control_then_confirm,none,set,0.997,exec:query_as_control;dir:spurious;length:very_short
에어컨 리모컨,에어컨 리모컨,ac_control,ac_control,direct_respond,control_then_confirm,on,on,0.998,exec:direct_as_control;length:very_short
현관문 상태,현관문 상태,door_control,door_control,control_then_confirm,query_then_respond,open,none,1.000,exec:control_then_confirm→query_then_respond;dir:missing;length:very_short
엘리베이터 내려와,엘리베이터이터 내려와,elevator_call,elevator_call,control_then_confirm,query_then_respond,on,none,1.000,exec:control_then_confirm→query_then_respond;dir:missing;length:very_short
알람 설정,알람 설정,schedule_manage,system_meta,query_then_respond,control_then_confirm,none,set,0.778,fn:schedule_manage→system_meta;pattern:schedule_vs_system;exec:query_as_control;dir:spurious;length:very_short
안방 등 밝게,안방 등 밝게,light_control,light_control,control_then_confirm,control_then_confirm,down,up,1.000,dir:opposite_direction;length:short
안방 난방,안방 난방,heat_control,heat_control,query_then_respond,control_then_confirm,on,on,1.000,exec:query_as_control;length:very_short
거실 냉방,거실 냉방,ac_control,ac_control,control_then_confirm,control_then_confirm,down,on,1.000,dir:down→on;length:very_short
거실 에어컨 온도,거실 에어컨 온도,ac_control,ac_control,control_then_confirm,control_then_confirm,set,none,1.000,dir:missing;length:short
환기 세기,환기 세기,vent_control,vent_control,direct_respond,control_then_confirm,none,none,1.000,exec:direct_as_control;length:very_short
환기 모드,환기 모드,vent_control,vent_control,direct_respond,control_then_confirm,none,set,1.000,exec:direct_as_control;dir:spurious;length:very_short
공기 순환,공기 순환,vent_control,vent_control,query_then_respond,control_then_confirm,on,on,0.991,exec:query_as_control;length:very_short
환기 풍량,환기 풍량,vent_control,vent_control,control_then_confirm,control_then_confirm,off,on,1.000,dir:opposite_onoff;length:very_short
환기 시스템,환기 시스템,vent_control,vent_control,query_then_respond,control_then_confirm,on,on,1.000,exec:query_as_control;length:very_short
도어락 잠갔어?,도어락 잠갔어?,door_control,door_control,control_then_confirm,control_then_confirm,close,open,1.000,dir:opposite_openclose;length:very_short
엘리베이터 불러,엘리베이터이터 불러,elevator_call,elevator_call,control_then_confirm,control_then_confirm,on,none,1.000,dir:missing;length:very_short
엘리베이터 올라와,엘리베이터이터 올라와,elevator_call,elevator_call,control_then_confirm,query_then_respond,on,none,1.000,exec:control_then_confirm→query_then_respond;dir:missing;length:very_short
오늘 맑아?,오늘 맑아?,weather_query,weather_query,query_then_respond,query_then_judge,none,none,1.000,exec:query_then_respond→query_then_judge;length:very_short
오후 비 올까,오후 비 올까,weather_query,weather_query,control_then_confirm,query_then_judge,none,none,1.000,exec:control_then_confirm→query_then_judge;length:short
영어로 뭐야,영어로 뭐야,unknown,system_meta,direct_respond,direct_respond,none,none,0.649,fn:unknown_to_known;length:very_short
길 안내,길 안내,unknown,system_meta,query_then_respond,query_then_respond,none,none,0.782,fn:unknown_to_known;length:very_short
주방 불 좀 밝게,주방 불 좀 밝게,light_control,light_control,control_then_confirm,control_then_confirm,down,up,1.000,dir:opposite_direction;length:short
현관 잠겨있어?,현관 잠겨있어?,door_control,door_control,query_then_respond,control_then_confirm,none,open,1.000,exec:query_as_control;dir:spurious;length:very_short
엘베 내려와,엘리베이터이터 내려와,elevator_call,elevator_call,query_then_respond,query_then_respond,on,none,1.000,dir:missing;length:very_short
음량 최소,음량 최소,home_info,home_info,control_then_confirm,control_then_confirm,down,up,0.998,dir:opposite_direction;length:very_short
네비게이션,네비게이션,unknown,system_meta,direct_respond,direct_respond,none,none,0.995,fn:unknown_to_known;length:very_short
거실 조명 최대,거실 조명 최대,light_control,light_control,control_then_confirm,control_then_confirm,down,on,1.000,dir:down→on;length:short
난방 시스템,난방 시스템,heat_control,heat_control,query_then_respond,control_then_confirm,on,on,1.000,exec:query_as_control;length:very_short
환풍 모드,환기 모드,vent_control,vent_control,query_then_respond,control_then_confirm,none,set,1.000,exec:query_as_control;dir:spurious;length:very_short
커튼 내려줘,커튼 내려줘,curtain_control,curtain_control,control_then_confirm,control_then_confirm,stop,close,1.000,dir:stop→close;length:very_short
승강기 와,엘리베이터이터 와,elevator_call,elevator_call,query_then_respond,query_then_respond,on,none,1.000,dir:missing;length:very_short
내일 추울까,내일 추울까,weather_query,weather_query,control_then_confirm,query_then_respond,on,on,0.992,exec:control_then_confirm→query_then_respond;length:very_short
화면 올려,화면 올려,home_info,home_info,control_then_confirm,control_then_confirm,down,up,0.998,dir:opposite_direction;length:very_short
통행 시간,통행 시간,traffic_query,unknown,direct_respond,direct_respond,none,none,0.555,fn:known_to_unknown;length:very_short
알람 해제,알람 해제,schedule_manage,system_meta,control_then_confirm,control_then_confirm,set,set,0.999,fn:schedule_manage→system_meta;pattern:schedule_vs_system;length:very_short
불좀켜,불좀켜,light_control,light_control,direct_respond,control_then_confirm,none,none,1.000,exec:direct_as_control;length:very_short
불좀꺼,불좀꺼,light_control,light_control,control_then_confirm,control_then_confirm,none,off,1.000,dir:spurious;length:very_short
남방 올려쥬,난방 올려쥬,heat_control,heat_control,control_then_confirm,control_then_confirm,on,up,1.000,dir:on→up;length:very_short;style:colloquial
날방 올려,난방 올려,heat_control,heat_control,control_then_confirm,control_then_confirm,on,up,1.000,dir:on→up;length:very_short
남방 올려,난방 올려,heat_control,heat_control,control_then_confirm,control_then_confirm,on,up,1.000,dir:on→up;length:very_short
냉방커줘,냉방커줘,ac_control,ac_control,control_then_confirm,control_then_confirm,off,on,1.000,dir:opposite_onoff;length:very_short
환풍기커줘,환기기커줘,vent_control,vent_control,control_then_confirm,control_then_confirm,up,on,0.999,dir:up→on;length:very_short
까스 닫아쥬,가스 닫아쥬,gas_control,gas_control,query_then_respond,control_then_confirm,none,close,1.000,exec:query_as_control;dir:spurious;length:very_short;style:colloquial
도어록 열어쥬,도어락 열어쥬,door_control,door_control,control_then_confirm,control_then_confirm,none,open,1.000,dir:spurious;length:very_short;style:colloquial
엘베불러,엘리베이터이터불러,elevator_call,elevator_call,control_then_confirm,query_then_respond,on,none,1.000,exec:control_then_confirm→query_then_respond;dir:missing;length:very_short
승강기불러,엘리베이터이터불러,elevator_call,elevator_call,control_then_confirm,query_then_respond,on,none,1.000,exec:control_then_confirm→query_then_respond;dir:missing;length:very_short
엘레베이터와,엘리베이터이터와,elevator_call,elevator_call,query_then_respond,query_then_respond,on,none,1.000,dir:missing;length:very_short
전등 켜줘,전등 켜줘,light_control,light_control,clarify,control_then_confirm,none,none,1.000,exec:clarify→control_then_confirm;length:very_short
라이트 켜,조명 켜,light_control,light_control,clarify,control_then_confirm,on,on,1.000,exec:clarify→control_then_confirm;length:very_short
전화,전화,unknown,home_info,direct_respond,direct_respond,none,none,0.543,fn:unknown_to_known;length:very_short
선풍기,선풍기,unknown,ac_control,direct_respond,direct_respond,none,none,0.977,fn:unknown_to_known;length:very_short
길이 막혀,길이 막혀,traffic_query,traffic_query,control_then_confirm,direct_respond,none,none,0.999,exec:control_then_confirm→direct_respond;length:very_short
병원 추천,병원 추천,medical_query,unknown,direct_respond,query_then_respond,none,none,0.541,fn:known_to_unknown;exec:direct_respond→query_then_respond;length:very_short
주차 등록해줘,주차 등록해줘,vehicle_manage,vehicle_manage,query_then_respond,query_then_respond,set,none,1.000,dir:missing;length:very_short
알람 설정해,알람 설정해,schedule_manage,system_meta,control_then_confirm,control_then_confirm,set,set,0.999,fn:schedule_manage→system_meta;pattern:schedule_vs_system;length:very_short
모닝콜 설정해,모닝콜 설정해,schedule_manage,schedule_manage,query_then_respond,control_then_confirm,set,set,1.000,exec:query_as_control;length:very_short
알람 켜줘,알람 켜줘,schedule_manage,system_meta,control_then_confirm,control_then_confirm,on,set,0.986,fn:schedule_manage→system_meta;pattern:schedule_vs_system;dir:on→set;length:very_short
